arquivo,url_origem,autor,licenca,data_coleta
img_000.jpg,https://commons.wikimedia.org/wiki/File:Arquitetura_de_Brasilia._Praça_dos_Três_Poderes!_(15075339254).jpg,"Marinelson Almeida - Traveling through Brazil from Niteroi, Brasil",CC BY 2.0,2026-07-09
img_015.jpg,https://commons.wikimedia.org/wiki/File:Imagens_de_Brasília_(54279561395).jpg,"Agência Senado from Brasilia, Brazil",CC BY 2.0,2026-07-09
img_016.jpg,https://commons.wikimedia.org/wiki/File:Brasilia_Congresso_Nacional_05_2007_221.jpg,Mario Roberto Duran Ortiz,Public domain,2026-07-09
img_018.jpg,https://commons.wikimedia.org/wiki/File:Brasília_-_Congresso_Nacional_-_panoramio.jpg,AndersonRHCP22,CC BY 3.0,2026-07-09
img_019.jpg,https://commons.wikimedia.org/wiki/File:CONGRESSO_NACIONAL_BRASÍLIA_FOTO_ARLEY_DA_CRUZ.jpg,Arley da Cruz,CC BY-SA 4.0,2026-07-09
img_020.jpg,"https://commons.wikimedia.org/wiki/File:Congreso_Nacional,_Brasília_DF,_05_2006.JPG",Mario Roberto Durán Ortiz,Public domain,2026-07-09
img_021.jpg,"https://commons.wikimedia.org/wiki/File:Congresso_Nacional,_Brasília-DF,_Brasil.jpg",Dária Baísa,CC BY 2.0,2026-07-09
img_025.jpg,https://commons.wikimedia.org/wiki/File:Congresso_Nacional_(29532229682).jpg,Senado Federal,CC BY 2.0,2026-07-09
img_026.jpg,https://commons.wikimedia.org/wiki/File:Congresso_Nacional_(29532230922).jpg,Senado Federal,CC BY 2.0,2026-07-09
img_027.jpg,https://commons.wikimedia.org/wiki/File:Congresso_Nacional_(29532231602).jpg,Senado Federal,CC BY 2.0,2026-07-09
img_028.jpg,https://commons.wikimedia.org/wiki/File:Congresso_Nacional_(Brasília_-_DF)_ao_anoitecer.jpg,Marta Iansen,CC BY-SA 4.0,2026-07-09
img_029.jpg,https://commons.wikimedia.org/wiki/File:Congresso_Nacional_-_Brasilia_(14911373813).jpg,"Marinelson Almeida - Traveling through Brazil from Niteroi, Brasil",CC BY 2.0,2026-07-09
img_031.jpg,https://commons.wikimedia.org/wiki/File:Congresso_Nacional_-_Brasilia_(17954109049).jpg,"Marinelson Almeida - Traveling through Brazil from Niteroi, Brasil",CC BY 2.0,2026-07-09
img_032.jpg,https://commons.wikimedia.org/wiki/File:Congresso_Nacional_-_Brasília_-_DF_-_panoramio.jpg,Paulo JC Nogueira,CC BY-SA 3.0,2026-07-09
img_045.jpg,https://commons.wikimedia.org/wiki/File:Brasilia_Cathedral_Bell_Tower.jpg,Cayambe,CC BY-SA 3.0,2026-07-09
img_047.jpg,https://commons.wikimedia.org/wiki/File:Catedral_Metropolitana_de_Brasília_(16425039893).jpg,"Agência Brasília from Brasília, Brasil",CC BY 2.0,2026-07-09
img_060.jpg,https://commons.wikimedia.org/wiki/File:Catedral_de_Brasília_-_DSC00232.JPG,Daderot,CC0,2026-07-09
img_067.jpg,https://commons.wikimedia.org/wiki/File:Catedral_de_Brasília_-_DSC00268.JPG,Daderot,CC0,2026-07-09
img_085.jpg,https://commons.wikimedia.org/wiki/File:Palácio_do_Planalto_(14091328829).jpg,Michel Temer,CC BY 2.0,2026-07-09
img_087.jpg,https://commons.wikimedia.org/wiki/File:Palácio_do_Planalto_(14091330379).jpg,Michel Temer,CC BY 2.0,2026-07-09
img_098.jpg,https://commons.wikimedia.org/wiki/File:Palácio_do_Planalto_Novembro_Azul.jpg,Michel Temer,CC BY 2.0,2026-07-09
img_105.jpg,"https://commons.wikimedia.org/wiki/File:Beasília_DF_Brasil_-_Cine_Brasilia,_frente_-_panoramio.jpg",Josue Marinho,CC BY 3.0,2026-07-09
img_107.jpg,https://commons.wikimedia.org/wiki/File:Brasília_DF_Brasil_-_Cine_Brasília_-_panoramio.jpg,Josue Marinho,CC BY 3.0,2026-07-09
img_126.jpg,https://commons.wikimedia.org/wiki/File:Memorial_J_Kubitschek_Brasilia_2009.jpg,Cayambe,CC BY-SA 3.0,2026-07-09
img_127.jpg,https://commons.wikimedia.org/wiki/File:Obras_de_Niemeyer_em_Brasília.jpg,Josue Martins Soares Filho,CC BY-SA 4.0,2026-07-09
img_128.jpg,https://commons.wikimedia.org/wiki/File:Oscar-niemeyer-chapel-exterior.jpg,Stephen Bingham,CC BY-SA 4.0,2026-07-09
img_133.jpg,https://commons.wikimedia.org/wiki/File:Brasilia_Théatre_Pedro_Calmon.jpg,LecomteB,CC BY-SA 4.0,2026-07-09
img_135.jpg,https://commons.wikimedia.org/wiki/File:Detalhe_edifício_modernista_Brasília_02.jpg,Sintegrity,CC BY-SA 4.0,2026-07-09
img_136.jpg,https://commons.wikimedia.org/wiki/File:Museu_Oscar_Niemeyer_-_Flickr_-_xiquinhosilva.jpg,xiquinhosilva,CC BY 4.0,2026-07-09
img_168.jpg,https://commons.wikimedia.org/wiki/File:Brasília_Museu_Nacional_Honestino_Guimarães.jpg,Cayambe,CC BY-SA 3.0,2026-07-09
img_170.jpg,https://commons.wikimedia.org/wiki/File:Museu_Nacional_de_Brasilia_(17952975808).jpg,"Marinelson Almeida - Traveling through Brazil from Niteroi, Brasil",CC BY 2.0,2026-07-09
img_177.jpg,https://commons.wikimedia.org/wiki/File:BSB_02_2006_Esplanada_dos_Ministerios_02_2006_39.JPG,Mariordo (Mario Roberto Duran Ortiz),CC BY-SA 3.0,2026-07-09
img_178.jpg,https://commons.wikimedia.org/wiki/File:BSB_02_2006_Esplanada_dos_Ministerios_41.JPG,Mariordo (Mario Roberto Duran Ortiz),CC BY-SA 3.0,2026-07-09
img_180.jpg,"https://commons.wikimedia.org/wiki/File:Esplanada_dos_Ministérios,_Brasília_DF_04_2006.jpg",Mario Roberto Durán Ortiz,Public domain,2026-07-09
img_186.jpg,https://commons.wikimedia.org/wiki/File:Esplanada_dos_Ministérios_(31039229571).jpg,Senado Federal,CC BY 2.0,2026-07-09
img_191.jpg,https://commons.wikimedia.org/wiki/File:Esplanada_dos_Ministérios_(52232498664).jpg,"Agência Senado from Brasilia, Brazil",CC BY 2.0,2026-07-09
img_197.jpg,https://commons.wikimedia.org/wiki/File:Esplanada_dos_Ministérios_-_Brasilia_-_DSC00014.JPG,Daderot,CC0,2026-07-09
img_202.jpg,https://commons.wikimedia.org/wiki/File:Esplanada_dos_Ministérios_em_Brasília.JPG,Joehawkins,CC BY-SA 4.0,2026-07-09
img_203.jpg,https://commons.wikimedia.org/wiki/File:Esplanada_dos_Ministérios_vista_da_Rodoviária_do_Plano_Piloto_-_2019-08-16.jpg,Beatrizmsa,CC BY-SA 4.0,2026-07-09
img_206.jpg,https://commons.wikimedia.org/wiki/File:CATEDRAL_METROPOLITANA_DE_BRASÍLIA.jpg,Eliene Vieira de Araújo,CC BY-SA 4.0,2026-07-09
